YWHAH	14-3-3 protein eta
TMCC3	Transmembrane and coiled-coil domain family 3, isoform CRA c
TMTC4	Transmembrane and TPR repeat-containing protein 4
TMUB1	Transmembrane and ubiquitin-like domain-containing protein 1
TMED1	Transmembrane emp24 domain-containing protein 1
TMED4	Transmembrane emp24 domain-containing protein 4
P4HTM	Transmembrane prolyl 4-hydroxylase
TMPRSS3	Transmembrane protease serine 3
TMEM106B	Transmembrane protein 106B
TMEM117	Transmembrane protein 117
TMEM120B	Transmembrane protein 120B
TMEM161B	Transmembrane protein 161B
TMEM164	Transmembrane protein 164
TMEM165	Transmembrane protein 165
TMEM170A	Transmembrane protein 170A
TMEM179B	Transmembrane protein 179B
TMEM181	Transmembrane protein 181
TMEM184B	Transmembrane protein 184B
TMEM185B	Transmembrane protein 185B
TMEM201	Transmembrane protein 201
TMEM206	Transmembrane protein 206
TMEM212	Transmembrane protein 212
TMEM217	Transmembrane protein 217
TMEM237	Transmembrane protein 237
TMEM241	Transmembrane protein 241
TMEM43	Transmembrane protein 43
TMEM62	Transmembrane protein 62
TMEM88	Transmembrane protein 88
TANGO6	Transport and Golgi organization protein 6 homolog
TNPO1	Transportin-1
TREH	Trehalase
TRIB1	Tribbles homolog 1
GART	Trifunctional purine biosynthetic protein adenosine-3
TRIM35	Tripartite motif-containing protein 35
TRIM45	Tripartite motif-containing protein 45
TRIM59	Tripartite motif-containing protein 59
TRIM66	Tripartite motif-containing protein 66
TPP2	Tripeptidyl-peptidase 2
METTL1	tRNA (guanine-N(7)-)-methyltransferase
PUS1	tRNA pseudouridine synthase A, mitochondrial
RTCB	tRNA-splicing ligase RtcB homolog
TMOD3	Tropomodulin-3
TPM2	Tropomyosin beta chain
WARS	Tryptophan--tRNA ligase, cytoplasmic
TSC22D4	TSC22 domain family protein 4
TSACC	TSSK6-activating co-chaperone protein
TULP1	Tubby-related protein 1
TULP3	Tubby-related protein 3
TUBB2A	Tubulin beta-2A chain
TUBB2B	Tubulin beta-2B chain
TBCB	Tubulin-folding cofactor B
TPPP	Tubulin polymerization-promoting protein
TBCD	Tubulin-specific chaperone D
TNF	Tumor necrosis factor
TNFAIP3	Tumor necrosis factor alpha-induced protein 3
TNFAIP8	Tumor necrosis factor alpha-induced protein 8
TNFSF14	Tumor necrosis factor ligand superfamily member 14
TNFSF8	Tumor necrosis factor ligand superfamily member 8
TNFRSF18	Tumor necrosis factor receptor superfamily member 18
RELT	Tumor necrosis factor receptor superfamily member 19L
TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B
TNFRSF25	Tumor necrosis factor receptor superfamily member 25
TNFRSF4	Tumor necrosis factor receptor superfamily member 4
TP63	Tumor protein 63
TPD52L2	Tumor protein D54
TP53INP2	Tumor protein p53-inducible nuclear protein 2
TP53I13	Tumor protein p53-inducible protein 13
INPP4A	Type I inositol 3,4-bisphosphate 4-phosphatase
FES	Tyrosine-protein kinase Fes/Fps
FYN	Tyrosine-protein kinase Fyn
LTK	Tyrosine-protein kinase receptor
NTRK1	Tyrosine-protein kinase receptor
PTPN13	Tyrosine-protein phosphatase non-receptor type 13
PTPN23	Tyrosine-protein phosphatase non-receptor type 23
PTPN4	Tyrosine-protein phosphatase non-receptor type 4
PTPN7	Tyrosine-protein phosphatase non-receptor type 7
PTPN9	Tyrosine-protein phosphatase non-receptor type 9
TDP1	Tyrosyl-DNA phosphodiesterase 1
SNRPA	U1 small nuclear ribonucleoprotein A
IMP4	U3 small nucleolar ribonucleoprotein protein IMP4
UTP6	U3 small nucleolar RNA-associated protein 6 homolog
UBIAD1	UbiA prenyltransferase domain-containing protein 1
UBQLN4	Ubiquilin-4
COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial
UBAC2	Ubiquitin-associated domain-containing protein 2
UBAP2	Ubiquitin-associated protein 2
UCHL3	Ubiquitin carboxyl-terminal hydrolase
USP10	Ubiquitin carboxyl-terminal hydrolase 10
USP11	Ubiquitin carboxyl-terminal hydrolase 11
USP12	Ubiquitin carboxyl-terminal hydrolase 12
USP13	Ubiquitin carboxyl-terminal hydrolase 13
USP34	Ubiquitin carboxyl-terminal hydrolase 34
USP38	Ubiquitin carboxyl-terminal hydrolase 38
USP46	Ubiquitin carboxyl-terminal hydrolase 46
USP7	Ubiquitin carboxyl-terminal hydrolase 7
UBE2G2	Ubiquitin-conjugating enzyme E2 G2
UBE2Q2	Ubiquitin-conjugating enzyme E2 Q2
UBE2R2	Ubiquitin-conjugating enzyme E2 R2
UBE2S	Ubiquitin-conjugating enzyme E2 S
UEVLD	Ubiquitin-conjugating enzyme E2 variant 3
UBE2Z	Ubiquitin-conjugating enzyme E2 Z
UBA6	Ubiquitin-like modifier-activating enzyme 6
ATG7	Ubiquitin-like modifier-activating enzyme ATG7
UBE3A	Ubiquitin-protein ligase E3A
UBE3C	Ubiquitin-protein ligase E3C
OTUB1	Ubiquitin thioesterase OTUB1
UBXN11	UBX domain-containing protein 11
B3GALNT2	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2
SLC35D2	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter
ADCK2	Uncharacterized aarF domain-containing protein kinase 2
ZFP41	Uncharacterized protein
ARIH2OS	Uncharacterized protein ARIH2OS
C10orf105	Uncharacterized protein C10orf105
C11orf21	Uncharacterized protein C11orf21
C17orf96	Uncharacterized protein C17orf96
C3orf18	Uncharacterized protein C3orf18
C4orf26	Uncharacterized protein C4orf26
C6orf1	Uncharacterized protein C6orf1
C6orf226	Uncharacterized protein C6orf226
C6orf62	Uncharacterized protein C6orf62
KIAA0556	Uncharacterized protein KIAA0556
KIAA1143	Uncharacterized protein KIAA1143
MYO1C	Unconventional myosin-Ic
MYO1D	Unconventional myosin-Id
MYO1E	Unconventional myosin-Ie
MYO1G	Unconventional myosin-Ig
MYO9A	Unconventional myosin-IXa
MYO9B	Unconventional myosin-IXb
MYO5A	Unconventional myosin-Va
C9orf16	UPF0184 protein C9orf16
C5orf24	UPF0461 protein C5orf24
C1orf216	UPF0500 protein C1orf216
C19orf66	UPF0515 protein C19orf66
C16orf87	UPF0547 protein C16orf87
KIAA1324L	UPF0577 protein KIAA1324-like
C10orf76	UPF0668 protein C10orf76
UPRT	Uracil phosphoribosyltransferase homolog
UCK2	Uridine-cytidine kinase 2
PLAU	Urokinase-type plasminogen activator
UTRN	Utrophin
VMA21	Vacuolar ATPase assembly integral membrane protein VMA21
MON1A	Vacuolar fusion protein MON1 homolog A
VPS13A	Vacuolar protein sorting-associated protein 13A
VPS13B	Vacuolar protein sorting-associated protein 13B
VPS13C	Vacuolar protein sorting-associated protein 13C
VPS36	Vacuolar protein-sorting-associated protein 36
VPS37A	Vacuolar protein sorting-associated protein 37A
ACADVL	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial
VLDLR	Very low-density lipoprotein receptor
VAMP3	Vesicle-associated membrane protein 3
NSF	Vesicle-fusing ATPase
VTI1A	Vesicle transport through interaction with t-SNAREs homolog 1A
VEZT	Vezatin
VIM	Vimentin
VCL	Vinculin
VDR	Vitamin D3 receptor
PROZ	Vitamin K-dependent protein Z
VTN	Vitronectin
CACNG8	Voltage-dependent calcium channel gamma-8 subunit
CACNA2D4	Voltage-dependent calcium channel subunit alpha-2/delta-4
CACNB2	Voltage-dependent L-type calcium channel subunit beta-2
VHL	Von Hippel-Lindau disease tumor suppressor
TCIRG1	V-type proton ATPase subunit a
ATP6V1G2	V-type proton ATPase subunit G 2
WDR13	WD repeat-containing protein 13
WDR26	WD repeat-containing protein 26
WDR41	WD repeat-containing protein 41
WDR6	WD repeat-containing protein 6
WDR7	WD repeat-containing protein 7
WEE1	Wee1-like protein kinase
WRN	Werner syndrome ATP-dependent helicase
WBSCR16	Williams-Beuren syndrome chromosomal region 16 protein
WASF2	Wiskott-Aldrich syndrome protein family member 2
XAF1	XIAP-associated factor 1
XIRP1	Xin actin-binding repeat-containing protein 1
XYLT1	Xylosyltransferase 1
YEATS4	YEATS domain-containing protein 4
YRDC	YrdC domain-containing protein, mitochondrial
ZBTB1	Zinc finger and BTB domain-containing protein 1
ZBTB16	Zinc finger and BTB domain-containing protein 16
ZBTB17	Zinc finger and BTB domain-containing protein 17
ZBTB2	Zinc finger and BTB domain-containing protein 2
ZBTB21	Zinc finger and BTB domain-containing protein 21
ZBTB22	Zinc finger and BTB domain-containing protein 22
ZBTB43	Zinc finger and BTB domain-containing protein 43
ZBTB45	Zinc finger and BTB domain-containing protein 45
ZBTB46	Zinc finger and BTB domain-containing protein 46
ZBTB7A	Zinc finger and BTB domain-containing protein 7A
ZBTB9	Zinc finger and BTB domain-containing protein 9
ZSCAN2	Zinc finger and SCAN domain-containing protein 2
ZSCAN22	Zinc finger and SCAN domain-containing protein 22
ZBED1	Zinc finger BED domain-containing protein 1
ZBED4	Zinc finger BED domain-containing protein 4
ZC3H13	Zinc finger CCCH domain-containing protein 13
ZC3H4	Zinc finger CCCH domain-containing protein 4
ZC3H8	Zinc finger CCCH domain-containing protein 8
ZCCHC10	Zinc finger CCHC domain-containing protein 10
ZCCHC24	Zinc finger CCHC domain-containing protein 24
ZEB2	Zinc finger E-box binding homeobox 2
ZFYVE21	Zinc finger FYVE domain-containing protein 21
ZMAT3	Zinc finger matrin-type protein 3
ZMIZ1	Zinc finger MIZ domain-containing protein 1
ZMIZ2	Zinc finger MIZ domain-containing protein 2
ZMYM2	Zinc finger MYM-type protein 2
ZMYM6	Zinc finger MYM-type protein 6
ZNF121	Zinc finger protein 121
ZNF124	Zinc finger protein 124
ZNF131	Zinc finger protein 131
ZNF217	Zinc finger protein 217
ZNF23	Zinc finger protein 23
ZNF234	Zinc finger protein 234
ZNF280D	Zinc finger protein 280D
ZNF281	Zinc finger protein 281
ZNF37A	Zinc finger protein 37A
ZNF496	Zinc finger protein 496
ZNF513	Zinc finger protein 513
ZNF532	Zinc finger protein 532
ZNF581	Zinc finger protein 581
ZNF587	Zinc finger protein 587
ZNF644	Zinc finger protein 644
ZNF653	Zinc finger protein 653
ZNF696	Zinc finger protein 696
ZNF706	Zinc finger protein 706
ZNF710	Zinc finger protein 710
ZNF771	Zinc finger protein 771
ZNF778	Zinc finger protein 778
ZNF800	Zinc finger protein 800
ZNF831	Zinc finger protein 831
CASZ1	Zinc finger protein castor homolog 1
IKZF5	Zinc finger protein Pegasus
PLAGL1	Zinc finger protein PLAGL1
ZKSCAN1	Zinc finger protein with KRAB and SCAN domains 1
ZFR	Zinc finger RNA-binding protein
ZFR2	Zinc finger RNA-binding protein 2
ZHX1	Zinc fingers and homeoboxes protein 1
ZSWIM8	Zinc finger SWIM domain-containing protein 8
ZFY	Zinc finger Y-chromosomal protein
SLC30A4	Zinc transporter 4
SLC39A14	Zinc transporter ZIP14
SLC39A8	Zinc transporter ZIP8
ZYX	Zyxin
